,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2ndR,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,3010,2636,2772,2420,1889,1012,0,2096,2688,787,0,4267,6762,5574,0,6166
AKR,0,0,0,0,4289,3481,0,4666,7205,17463,0,8977,10066,20160,0,6545
LDK,24928,19321,15540,14665,5625,7789,14836,6261,4719,1937,0,5414,5117,2926,0,6091
LDD,0,0,0,0,2218,2465,0,4002,2536,0,0,770,0,0,0,0
AAK,7031,9338,9038,7175,7285,12409,19185,8177,11215,21861,0,10626,10208,16376,0,10000
LVV,0,0,0,0,0,0,0,0,0,0,0,4409,2442,830,0,5984
Others,6817,7425,11532,16128,9157,5517,0,5305,10295,54,0,2521,6786,0,0,1909
