,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,0,0,0,0,0,0,0,170,133,0,185,289,181,0,341
AKR,0,0,0,0,0,0,0,0,39,23,0,22,0,0,0,24
LDK,0,0,0,0,0,0,0,0,708,730,0,758,832,823,0,591
LDD,0,0,0,0,0,0,0,0,242,239,0,101,0,0,0,0
AAK,0,0,0,0,0,0,0,0,892,1109,0,856,895,1209,0,843
LVV,0,0,0,0,0,0,0,0,0,0,0,94,363,316,0,153
Others,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,99
