,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,0,0,0,0,0,0,0,0,0,0,101,202,328,0,92
AKR,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,11
LDK,0,0,0,0,0,0,0,0,212,0,0,148,174,189,0,169
LDD,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
AAK,0,0,0,0,0,0,0,0,0,0,0,12,103,0,0,25
LVV,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,121
Others,0,0,0,0,0,0,0,0,401,510,0,767,1398,1494,0,1229
