,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,4475,4602,4143,3806,4614,5415,0,4911,4926,5152,0,5478,6556,6392,0,8623
AKR,0,0,0,0,3089,2417,0,3461,1801,0,0,2320,783,160,0,882
LDK,28352,23091,20367,20488,5549,4798,0,5529,4813,4668,0,8618,11514,17200,0,11817
LDD,0,0,0,0,5162,5002,0,5433,3555,5845,4549,1258,0,0,0,0
AAK,7729,9538,13470,8742,7693,8203,18068,8066,10874,16051,15061,10966,11283,15269,0,8584
LVV,0,0,0,0,0,0,0,0,0,0,0,5043,2193,1638,0,6208
Others,2981,4394,6449,9706,7465,9834,8646,6419,8183,5029,0,4298,6575,1320,0,3341
