,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,0,0,0,0,0,0,0,151,141,0,80,112,0,0,71
AKR,0,0,0,0,0,0,0,0,254,217,0,24,0,0,0,58
LDK,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,22
LDD,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
AAK,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12
LVV,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29
Others,0,0,0,0,0,0,0,0,1242,1441,0,1705,2070,2280,0,1520
