,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,0,0,0,0,0,0,0,0,0,0,89,114,157,0,171
AKR,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,31
LDK,0,0,0,0,0,0,0,0,0,0,0,149,158,0,0,191
LDD,0,0,0,0,0,0,0,0,131,137,0,69,0,0,0,0
AAK,0,0,0,0,0,0,0,0,0,0,0,13,39,0,0,31
LVV,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,65
Others,0,0,0,0,0,0,0,0,3427,3504,0,6313,9444,10101,0,7206
