,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2ndR,National,Assembly,Mayoral,2ndR,National,Assembly,Mayoral,2nd R,National
PDK,4324,3467,3866,3760,4159,4765,5721,4002,3901,5070,6630,3966,4249,5096,0,3999
AKR,0,0,0,0,563,540,0,597,466,402,0,341,455,0,0,331
LDK,6509,5469,4884,4911,3231,3851,4725,2966,3727,4781,5813,3768,3915,4613,0,3757
LDD,0,0,0,0,636,760,0,491,499,0,0,241,0,0,0,0
AAK,303,518,338,192,319,0,0,381,846,914,0,976,886,873,0,361
LVV,0,0,0,0,0,0,0,0,0,0,0,352,266,231,0,414
Others,3848,4323,4260,4546,3183,1982,0,3617,2751,1685,0,3359,4736,4310,0,3949
