,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,1724,2210,2481,2343,2516,2582,3371,2474,2373,2897,0,2484,3055,3112,0,2994
AKR,0,0,0,0,1930,1504,0,2151,660,908,0,934,635,409,0,649
LDK,5513,5890,5375,5797,3067,3361,4250,3073,4778,6606,0,4512,5526,9382,0,4518
LDD,0,0,0,0,521,484,0,514,424,0,0,244,0,0,0,0
AAK,1077,558,505,409,324,384,0,310,745,499,0,520,592,501,0,801
LVV,0,0,0,0,0,0,0,0,0,0,0,2122,1503,1180,0,2236
Others,886,2139,2276,1753,887,1282,0,1038,1561,682,0,1318,2389,0,0,1839
