,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2012,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Mayoral,Assembly,Mayoral,2nd R,National
PDK,11077,11727,12648,11458,12050,14562,14902,12441,12866,19360,0,12199,11712,15204,19007,0,13057
AKR,0,0,0,0,4897,4373,0,4742,4651,6233,0,3372,1403,1986,1079,0,1364
LDK,28141,26846,25746,24418,4989,9635,8697,4957,4948,4411,0,8892,6903,13403,16422,0,13970
LDD,0,0,0,0,7704,5092,0,7787,5621,6100,0,1556,0,0,0,0,0
AAK,821,1763,1658,1472,1379,1143,0,1179,2575,1722,0,2307,3116,5520,5669,0,3196
LVV,0,0,0,0,0,0,0,0,0,0,0,7429,4564,4108,4166,0,6885
Others,1405,2376,3491,5208,2824,1294,0,2758,3259,539,0,2480,1028,3387,1553,0,3594
