,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,Mayoral
PDK,8317,9418,10283,9789,8925,8879,10204,9260,7926,9965,0,10692,8601,10575,0,8798
AKR,0,0,0,0,3007,2982,0,3002,2652,3224,0,1533,2047,1581,0,1560
LDK,10718,10021,9923,10414,4404,4462,6200,4321,6474,9127,0,7920,7434,10294,0,8096
LDD,0,0,0,0,1677,1256,0,1663,1138,0,0,492,0,0,0,0
AAK,1109,950,840,673,929,1022,0,759,1036,668,0,919,4037,6026,0,693
LVV,0,0,0,0,0,0,0,0,0,0,0,2361,1494,858,0,2289
Others,959,3492,2585,1837,1825,2842,0,1977,2346,367,0,1541,3455,0,0,4358
