,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,10398,12374,12167,11122,11623,13164,14031,11939,12797,15610,0,11317,10633,12194,0,9826
AKR,0,0,0,0,4836,4004,0,5224,3789,3229,0,3724,1909,0,0,2003
LDK,24479,21512,21589,19927,6894,7097,7081,6674,8542,11154,0,8985,14050,19465,0,12179
LDD,0,0,0,0,5101,5406,0,5060,4025,3590,0,1792,0,0,0,0
AAK,2159,2938,2126,2781,3124,2586,0,2393,4682,5610,0,2621,4985,4620,0,3111
LVV,0,0,0,0,0,0,0,0,0,0,0,9556,4443,6863,0,10080
Others,2086,6000,6290,5953,2350,3314,0,2698,2827,1182,0,2933,8792,4788,0,3131
