,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,18587,18618,17313,18486,13402,12986,0,16012,21371,24479,0,22133,13550,14637,0,19116
AKR,0,0,0,0,569,819,0,522,1022,0,0,429,479,0,0,347
LDK,2856,2457,2418,2026,742,840,0,777,1473,0,0,642,1010,1165,0,852
LDD,0,0,0,0,444,477,0,573,1354,0,0,17,0,0,0,0
AAK,120,200,331,1676,1323,1487,0,1181,623,2557,0,278,837,926,0,829
LVV,0,0,0,0,0,0,0,0,0,0,0,522,901,732,0,753
Others,434,892,1000,1225,2364,3049,0,582,636,0,0,110,4371,5614,0,2502
