,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,4631,5252,5127,4667,4064,3353,6203,4297,4239,5758,9717,5289,4065,4959,0,4001
AKR,0,0,0,0,1237,960,0,1280,1476,0,0,1331,900,474,0,569
LDK,10814,10396,9394,9506,2244,2521,0,2390,2660,2778,0,4025,6253,7588,0,5804
LDD,0,0,0,0,2985,3251,5727,3076,4595,6399,8070,1034,0,0,0,0
AAK,912,913,1169,2452,2021,2881,0,1566,3032,4129,0,2517,3313,2910,0,1003
LVV,0,0,0,0,0,0,0,0,0,0,0,2850,3114,4547,0,4430
Others,1752,2846,2301,2890,1321,1195,0,759,1462,146,0,767,1444,365,0,1514
