,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,0,0,0,0,0,0,0,1459,1553,0,1570,1576,2010,0,1017
AKR,0,0,0,0,0,0,0,0,0,0,0,885,57,0,0,37
LDK,0,0,0,0,0,0,0,0,1498,598,0,738,1069,358,0,644
LDD,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0
AAK,0,0,0,0,0,0,0,0,907,221,0,305,1399,0,0,683
LVV,0,0,0,0,0,0,0,0,0,0,0,176,799,0,0,957
Others,0,0,0,0,0,0,0,0,0,1886,0,26,0,2864,0,77
