,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,7784,8714,10562,9882,8289,8599,8861,8137,8570,11137,0,10226,10375,12608,0,13102
AKR,0,0,0,0,4859,5437,0,4465,4117,6417,0,1323,3671,6483,0,2288
LDK,21785,17529,16516,14828,4829,5628,6950,4420,5369,5556,0,4850,6081,5972,0,6377
LDD,0,0,0,0,1789,1704,0,1827,1413,0,0,37,0,0,0,0
AAK,996,1961,1763,1459,1118,724,0,986,3538,4678,0,1408,1824,1039,0,776
LVV,0,0,0,0,0,0,0,0,0,0,0,2497,2086,2259,0,4355
Others,1797,2828,2044,4478,1950,1461,0,1983,2570,641,0,1297,2712,1235,0,1005
