,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,4305,4295,4584,3970,4050,4272,6340,3925,4406,5180,6400,4004,4390,6071,0,3951
AKR,0,0,0,0,2910,2495,0,3171,2455,3344,0,1552,2497,3466,0,2100
LDK,9190,8023,7575,7288,1853,2145,0,1558,2860,3384,7218,3790,4960,6155,0,2966
LDD,0,0,0,0,2390,2596,2819,2632,1439,761,0,646,0,0,0,0
AAK,1286,1410,1881,2667,1559,2042,0,1367,2621,2953,0,1457,2846,2495,0,1849
LVV,0,0,0,0,0,0,0,0,0,0,0,2562,733,491,0,2581
Others,582,4814,2704,1133,464,263,0,572,425,0,0,1304,1988,0,0,1749
