,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2ndR,National,Assembly,Mayoral,2ndR,National,Assembly,Mayoral,2nd R,National
PDK,7779,9200,8685,9019,9786,11078,10634,9778,8740,10339,9170,8604,12147,15321,0,10874
AKR,0,0,0,0,2248,2025,0,2321,703,0,0,1696,1159,610,0,974
LDK,22193,20247,18723,19537,14256,15008,12483,14312,14400,16865,17947,17185,15245,19871,0,14752
LDD,0,0,0,0,0,0,0,79,0,0,0,221,0,0,0,0
AAK,2823,1870,1688,1822,1362,1559,0,1069,4274,3942,0,1691,3153,1692,0,2242
LVV,0,0,0,0,0,0,0,0,0,0,0,5313,2758,1759,0,4573
Others,1265,2658,2463,2952,1721,898,0,1545,2904,2634,0,696,1768,361,0,502
