,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,Mayoral
PDK,7154,7357,8029,8453,7765,7471,7697,8620,9485,12552,12331,9928,9641,11838,0,10523
AKR,0,0,0,0,2119,1464,0,2587,1292,0,0,1727,1263,0,0,1310
LDK,16652,15230,14538,13678,4603,4016,0,4996,4486,5020,0,6324,5418,6722,0,6515
LDD,0,0,0,0,1073,1036,0,1329,909,1141,0,566,0,0,0,0
AAK,1366,1153,1362,1301,1137,1270,0,1258,4844,6777,7312,1958,5084,6801,0,1372
LVV,0,0,0,0,0,0,0,0,0,0,0,5686,2837,3383,0,4116
Others,870,2563,1523,3289,3387,6275,5808,2246,2537,147,0,1788,3590,1614,0,3332
