,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,4958,4786,6108,5587,4414,4308,5140,4795,4540,5153,0,4860,5348,6147,0,5071
AKR,0,0,0,0,1041,1231,0,1091,831,0,0,688,230,0,0,234
LDK,4439,4528,5007,4898,1449,1443,2047,1498,1955,2634,0,2343,2668,2870,0,2592
LDD,0,0,0,0,1219,1340,0,1267,893,1464,0,263,0,0,0,0
AAK,273,289,253,375,543,649,0,428,433,380,0,421,904,1187,0,467
LVV,0,0,0,0,0,0,0,0,0,0,0,1529,1122,1367,0,1240
Others,392,465,214,759,894,1172,0,637,728,549,0,409,995,657,0,853
