,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,May 2nd,National,Assembly,Mayoral,2nd R,National
PDK,1691,1859,2150,1869,2086,2001,2862,1789,2204,2954,3807,2186,2106,2431,0,3041
AKR,0,0,0,0,1022,910,0,1157,514,371,0,667,229,171,0,342
LDK,4370,4091,4026,3877,1850,2077,3006,2109,1911,2222,4218,2997,2766,3578,0,2726
LDD,0,0,0,0,82,0,0,141,150,0,0,140,0,0,0,0
AAK,1246,373,0,416,802,873,0,554,1820,2009,0,562,2285,3088,0,1225
LVV,0,0,0,0,0,0,0,0,0,0,0,1753,345,282,0,1157
Others,297,1798,1453,1104,503,663,0,692,1568,1548,0,784,3644,2174,0,1423
