,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,400,469,567,437,416,328,0,361,223,200,0,240,171,103,0,279
AKR,0,0,0,0,0,0,0,241,316,205,0,286,83,0,0,237
LDK,336,327,407,338,341,560,0,161,619,872,0,400,1333,1659,0,464
LDD,0,0,0,0,84,0,0,59,0,0,0,10,0,0,0,0
AAK,66,13,19,17,0,0,0,0,132,125,0,106,120,111,0,227
LVV,0,0,0,0,0,0,0,0,0,0,0,227,98,108,0,320
Others,0,581,1197,93,3,23,0,76,559,592,0,2348,3071,3290,0,2492
