,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,17449,17068,19835,14485,13429,15798,21664,14289,8971,8427,0,13231,12256,9382,0,16471
AKR,0,0,0,0,15331,12316,0,15916,9951,15315,0,11526,5990,5380,0,7649
LDK,55237,48274,43270,40959,15733,22954,30198,14788,29668,39306,0,31096,29366,36755,0,30300
LDD,0,0,0,0,3524,3393,0,3525,3095,0,0,1787,0,0,0,0
AAK,6491,8589,5477,4463,3225,3501,0,3555,4549,3758,0,4565,5591,3765,0,5297
LVV,0,0,0,0,0,0,0,0,0,0,0,15899,16014,27415,0,20968
Others,4683,9486,10868,18040,9296,5704,0,9801,7748,1889,0,7057,10272,3282,0,2288
