,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,8168,10137,10559,10201,7908,7615,8462,7990,10078,9776,0,13812,6245,6402,0,5876
AKR,0,0,0,0,737,612,0,714,811,474,0,258,514,0,0,380
LDK,10018,7745,8635,8106,5225,6629,6966,4911,6687,6698,0,4728,5952,6529,0,4127
LDD,0,0,0,0,723,518,0,820,326,0,0,169,0,0,0,0
AAK,415,574,565,626,694,431,0,681,1046,458,0,603,799,353,0,447
LVV,0,0,0,0,0,0,0,0,0,0,0,1722,1332,1090,0,1356
Others,1341,1125,604,979,701,861,0,779,222,3410,0,159,8228,10556,0,8843
