,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,749,981,826,901,905,0,960,775,799,0,748,926,888,0,691
AKR,0,0,0,0,0,0,0,31,0,0,0,59,0,0,0,19
LDK,0,668,758,699,344,380,0,344,375,0,0,354,425,502,0,392
LDD,0,0,0,0,250,294,0,229,0,292,0,49,0,0,0,0
AAK,0,20,0,84,88,58,0,51,59,62,0,138,66,79,0,91
LVV,0,0,0,0,0,0,0,0,0,0,0,316,461,548,0,318
Others,0,4712,5198,194,14,11,0,31,1943,2136,0,4175,5596,6029,0,4835
