,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,881,679,606,797,904,684,0,765,1097,890,0,1326,1854,1078,0,1996
AKR,0,0,0,0,1105,778,0,1089,368,0,0,159,0,0,0,147
LDK,10136,9266,9210,10312,2961,2378,0,2636,2620,2727,0,2647,4532,5555,0,3865
LDD,0,0,0,0,3401,3479,3337,3224,1215,554,0,15,0,0,0,0
AAK,5552,6982,8674,7782,7806,6736,7120,7834,7697,9899,0,7027,7170,8669,0,7399
LVV,0,0,0,0,0,0,0,0,0,0,0,784,799,676,0,735
Others,201,488,445,855,152,3048,0,320,342,526,0,226,329,0,0,312
