,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,18108,17049,15601,18769,20003,18338,0,19798,22587,25017,0,26011,15653,17825,0,22775
AKR,0,0,0,0,709,768,0,606,941,0,0,278,364,404,0,280
LDK,2895,2689,2352,2279,235,0,0,225,518,0,0,282,537,437,0,458
LDD,0,0,0,0,1847,2842,0,1612,2959,3171,0,30,0,0,0,0
AAK,99,72,194,171,97,407,0,107,350,528,0,74,446,277,0,172
LVV,0,0,0,0,0,0,0,0,0,0,0,176,813,1145,0,547
Others,447,646,965,877,309,424,0,319,1138,708,0,267,1336,119,0,859
