,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,15406,16901,17947,17232,15118,15101,19017,15416,16039,19257,0,18167,15959,24791,0,17987
AKR,0,0,0,0,5070,6088,0,5024,2365,0,0,2376,1123,896,0,939
LDK,36196,27215,24138,21591,13175,15955,16977,13299,14301,17721,0,14141,13475,16888,0,11356
LDD,0,0,0,0,2035,2174,0,2053,3534,0,0,1286,0,0,0,0
AAK,2314,3036,3129,3053,3874,3913,0,3243,4529,3791,0,5645,5278,6374,0,3198
LVV,0,0,0,0,0,0,0,0,0,0,0,6028,4180,4464,0,6987
Others,9333,17097,18662,22159,13897,11534,0,13399,14653,18842,0,14134,22485,13178,0,19257
