,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2010,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,Mayoral,National,Assembly,Mayoral,2nd R,National
PDK,4908,5839,6408,5260,6278,6527,8919,6308,5989,7398,5234,6799,7953,9609,0,8287
AKR,0,0,0,0,1163,855,0,1318,2321,2800,3261,1797,733,352,0,600
LDK,14884,11249,9776,9554,4380,4082,5689,4350,4344,4694,5451,6272,5090,5512,0,5295
LDD,0,0,0,0,930,856,0,946,641,0,503,234,0,0,0,0
AAK,3680,1929,1826,2451,2696,1916,0,2597,3105,3867,5267,3647,5885,8169,0,3077
LVV,0,0,0,0,0,0,0,0,0,0,0,2287,1430,847,0,1892
Others,796,3654,2023,2961,2218,3962,0,1958,2759,1792,0,861,1680,371,0,1501
