,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,164,160,212,190,208,0,191,205,233,0,209,199,207,0,223
AKR,0,0,0,0,54,86,0,55,0,0,0,44,0,0,0,29
LDK,0,207,221,205,226,0,0,167,250,0,0,137,275,299,0,117
LDD,0,0,0,0,4,0,0,11,0,0,0,10,0,0,0,0
AAK,0,67,72,63,0,0,0,46,11,204,0,32,28,0,0,25
LVV,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,39
Others,0,916,3626,18,0,0,0,3,0,0,0,1,2114,2194,0,2283
