,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,0,0,16,0,0,0,20,0,0,0,65,79,0,0,99
AKR,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,3
LDK,0,1,0,43,0,0,0,2,0,0,0,22,0,0,0,56
LDD,0,0,0,0,25,0,0,6,0,0,0,15,0,0,0,0
AAK,0,1,0,12,0,0,0,11,36,33,0,30,85,0,0,12
LVV,0,0,0,0,0,0,0,0,0,0,0,14,29,0,0,27
Others,0,1151,3086,12,0,5,0,2,0,0,0,4,1409,834,0,1935
