,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,4167,5576,6272,5903,7678,9339,8195,7441,7348,8894,11941,7859,7484,8694,0,6686
AKR,0,0,0,0,1206,1314,0,1209,503,0,0,496,122,0,0,585
LDK,19475,16754,15398,16329,9362,9470,11407,9390,7965,8462,0,7384,8882,10431,0,8817
LDD,0,0,0,0,1933,1718,0,1863,1439,465,0,439,0,0,0,0
AAK,1453,1003,1028,952,1237,793,0,1230,6824,9281,13106,7014,8492,9248,0,5124
LVV,0,0,0,0,0,0,0,0,0,0,0,2033,1680,1148,0,2166
Others,1772,2717,3041,2898,988,379,0,743,930,172,0,454,1432,644,0,2620
