,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2nd R,National
PDK,0,0,0,3,0,0,0,6,0,0,0,31,83,0,0,95
AKR,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,14
LDK,0,22,0,21,0,0,0,17,0,0,0,24,66,0,0,41
LDD,0,0,0,0,24,0,0,4,3,0,0,8,0,0,0,0
AAK,0,3,0,17,0,0,0,24,30,34,0,26,88,0,0,73
LVV,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,25
Others,0,4877,3968,70,3,3,0,35,80,0,0,3,3951,4322,0,4444
