,2000,2001,2002,2004,2007,2007,2007,2007,2009,2009,2009,2010,2013,2013,2013,2014
,Assembly,National,Assembly,National,Assembly,Mayoral,2nd R,National,Assembly,Mayoral,2ndR,National,Assembly,Mayoral,2nd R,National
PDK,2931,3176,3289,3210,3257,3802,5090,3243,2535,2864,0,3177,2822,3109,0,3721
AKR,0,0,0,0,951,1052,0,1058,512,0,0,519,426,431,0,514
LDK,12721,11041,10755,10892,5268,6650,8837,5189,5734,7839,7088,7023,8146,10223,0,7223
LDD,0,0,0,0,2622,2642,0,2576,1696,1992,0,790,0,0,0,0
AAK,1630,1454,1740,1670,1743,960,0,1663,3418,3553,2945,2539,4472,5789,0,2638
LVV,0,0,0,0,0,0,0,0,0,0,0,1089,666,511,0,968
Others,772,1800,2309,2394,1133,502,0,1076,1511,265,0,1082,2380,0,0,1646
